phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,rnd_count,RND + Count,22,774.4200166729286,788.0010984315147,500,max_steps,False,False,none,-1,,0.0,False,0,10.017293214797974,6.165757186000064,10.01709375,2.52587890625,0.0,0.0,0.0,0.0,31.0,6250.0,49140.0,115.23,35.0,17.705031223416327,500,0.10198939850914758,0.026142269532084286,0.10198939850914758,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,23,703.2463327902119,716.3243648330532,500,max_steps,False,False,none,-1,,0.0,False,0,9.432931661605835,6.210108017000039,9.4325634765625,2.52587890625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,152.54,37.0,28.675118841260673,500,0.08577046625153162,0.025298359423166283,0.08577046625153162,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,24,669.9442871273336,686.4588245771887,500,max_steps,False,False,none,-1,,0.0,False,0,9.506185531616211,6.275915421999798,9.5058427734375,2.52587890625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,130.67,36.0,19.061370684981345,500,0.5019699615070131,0.02800937528464088,0.5019699615070131,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,25,563.1863515894936,574.9888940972523,492,collision,True,True,static.static,0,,6904.296393538261,False,0,8.85881495475769,6.215658795999843,8.858455078125,2.52587890625,0.0,0.0,0.0,0.0,39.0,6250.0,49140.0,149.66,38.0,13.35457660589458,492,0.3925321250237057,0.02006358628585393,0.3925321250237057,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 492}
train,rnd_count,RND + Count,26,479.11765378926884,492.11760607453243,424,collision,True,True,static.building,0,,15187.2587890625,False,0,8.75735354423523,5.123211749999882,8.7569619140625,2.52587890625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,116.12,36.0,28.267909670863652,424,0.3301547255552646,0.027358717568180965,0.3301547255552646,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 424}
train,rnd_count,RND + Count,27,457.52935177621674,465.7858273388563,372,collision,True,True,static.static,0,,11195.135262839289,False,0,7.755988359451294,4.738249591000113,7.75566845703125,2.52587890625,0.0,0.0,0.0,0.0,35.0,6250.0,49140.0,115.92,36.0,15.044797855759821,372,0.15154837235706353,0.020679343057718062,0.15154837235706353,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 372}
train,rnd_count,RND + Count,28,763.5746916275795,776.3647845524753,500,max_steps,False,False,none,-1,,0.0,False,0,10.025630474090576,5.838916354000048,10.025291015625,2.52587890625,0.0,0.0,0.0,0.0,33.0,6250.0,49140.0,112.15,35.0,29.765615008980035,500,0.09252741465484723,0.024654911703243215,0.09252741465484723,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,29,634.9611661110494,648.2073544720067,500,max_steps,False,False,none,-1,,0.0,False,0,9.371519088745117,6.106882291000147,9.3712001953125,2.52587890625,0.0,0.0,0.0,0.0,43.0,6250.0,49140.0,143.9,37.0,33.85846318531036,500,0.28034438745549417,0.023688932847359418,0.28034438745549417,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,30,724.7168432937183,736.5979215533961,500,max_steps,False,False,none,-1,,0.0,False,0,9.360532522201538,5.589872493000257,9.3602177734375,2.52587890625,0.0,0.0,0.0,0.0,33.0,6250.0,49140.0,114.66,36.0,21.415484408318996,500,0.10661189201043453,0.022696037599250377,0.10661189201043453,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,31,756.5768037356095,771.3912207679263,500,max_steps,False,False,none,-1,,0.0,False,0,8.979811906814575,5.9372407420000854,8.9792578125,2.52587890625,0.0,0.0,0.0,0.0,37.0,6250.0,49140.0,112.63,36.0,17.57944138546288,500,0.38268833608319985,0.025801950703802545,0.38268833608319985,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,32,673.5867308633827,686.6990125923862,500,max_steps,False,False,none,-1,,0.0,False,0,9.087122678756714,6.459045296999648,9.0867255859375,2.52587890625,0.0,0.0,0.0,0.0,36.0,6250.0,49140.0,149.54,38.0,29.799201070547102,500,0.33566647071304034,0.022867898750875634,0.33566647071304034,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 500}
train,rnd_count,RND + Count,33,404.1619379601661,412.6189835698255,386,collision,True,True,traffic.traffic_light,23,,9955.93554689792,False,0,7.657089471817017,5.019167209999978,7.65672119140625,2.52587890625,0.0,0.0,0.0,0.0,35.0,6250.0,49140.0,146.35,38.0,28.10159410524708,386,0.11948168356727973,0.020714627748937533,0.11948168356727973,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 386}
train,rnd_count,RND + Count,34,401.55987539927935,410.84905433773974,367,collision,True,True,traffic.traffic_light,15,,2479.0366210941015,False,0,7.1509528160095215,5.0749349749999055,7.15067236328125,2.52587890625,0.0,0.0,0.0,0.0,40.0,6250.0,49140.0,151.08,38.0,34.608996726267996,367,0.10969609606612032,0.0242141533130741,0.10969609606612032,0.2,0.99,5e-05,1.0,Set3: Noisy/RND/Count candidate ensemble,0.01,0.05,1.0,{'rnd_epsilon': 367}
