phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
train,ensemble_own_noisy_rnd_count,Ensemble,1,0,99,100,415.32632780627426,432.10965433872224,120.22245884169135,494.23973112190816,66.08026178929332,376.895385342762,457.5095374261332,994.7912423610687,714.3469652159993,994.7672302246092,486.77,6.198806132570715,1.8893440916422353,0.013920621809654546,38.74,3.61669921875,5e-05,1.0
train,ensemble_own_noisy_rnd_count,Ensemble,2,100,199,100,369.317631414047,378.40377861683373,126.32838442699814,467.94513290080386,81.2919304029699,357.56002044193656,426.77476755081045,999.3660790920258,726.7274031560028,999.3548781738286,476.57,7.557052738847191,0.1004451947864793,0.008604518412703472,38.87,3.61669921875,5e-05,1.0
train,ensemble_own_noisy_rnd_count,Ensemble,3,200,299,100,372.5645174538112,401.79113147737223,122.2171104705656,482.36635380634726,92.59678686486761,383.92520444900043,426.94227657363825,978.2151651382446,705.1782162799982,978.1874027099612,467.58,18.913853690051134,0.022323409489193785,0.007627286974860593,38.49,3.61669921875,5e-05,1.0
train,ensemble_own_noisy_rnd_count,Ensemble,4,300,399,100,394.329812846587,406.89263150773206,126.38784128851411,448.2706038160304,62.56692332475837,398.7556579523206,414.66167158540895,991.5664525032043,717.4830046489951,991.5331629638671,477.97,11.191873954681553,0.015638168447242345,0.0075131706233806305,39.18,3.61669921875,5e-05,1.0
train,ensemble_own_noisy_rnd_count,Ensemble,5,400,499,100,397.9976359445941,402.6826795396429,124.35451929163553,463.4329103112149,41.351095986659296,392.3267469366276,411.62729115644186,1012.0520944595337,740.9987325170059,1012.0133162841794,491.18,8.693118043790248,0.012372779914351508,0.005423007641210209,40.19,3.61669921875,5e-05,1.0
test,noisy_count,Noisy + Count,1,0,99,100,1186.1089724375604,1197.4020463456632,126.52394305048266,1210.0186053209757,106.6169823200563,1192.898025909045,1200.40990815751,638.0490775108337,208.72433971700593,638.0164921875001,495.59,0.0,0.0,0.0,37.71,3.41748046875,5e-05,1.0
test,noisy_count,Noisy + Count,2,100,199,100,1199.2131193727184,1200.7069362686525,1121.5876301432068,1223.718568987807,10.70445574240341,1195.8402432449793,1204.8060573124446,675.0296101570129,218.83979295600147,674.9983359374999,500.0,0.0,0.0,0.0,36.23,3.41748046875,5e-05,1.0
test,noisy_count,Noisy + Count,3,200,299,100,1193.493767127393,1192.9882129124676,1184.251761247755,1208.8207338521238,4.714748129043983,1190.1067601615082,1196.342424758719,609.1746866703033,172.0126203239979,609.1465024414061,500.0,0.0,0.0,0.0,38.21,3.41748046875,5e-05,1.0
test,rnd_count,RND + Count,1,0,99,100,141.29078449822111,141.13994856899313,125.73650366061612,147.3318487282636,3.6327269640275377,139.05691640541653,143.23147488878377,78.7500548362732,23.13398811499428,78.72405371093754,66.1,0.0,0.0,0.0,38.9,3.41748046875,5e-05,1.0
test,rnd_count,RND + Count,2,100,199,100,140.20988542340888,141.02797539703886,130.55738984446185,145.35930346120924,3.7753794926087663,138.41372850340008,143.17436278451424,81.3921709060669,22.54323276800642,81.36498876953124,65.58,0.0,0.0,0.0,38.07,3.41748046875,5e-05,1.0
test,rnd_count,RND + Count,3,200,299,100,141.1423610369024,141.08586903184434,132.62951348593845,147.3143173314579,2.9542943159554516,138.99446437005767,143.2072253063947,80.2721700668335,22.70868866600904,80.24604333496096,66.03,0.0,0.0,0.0,38.5,3.41748046875,5e-05,1.0
test,ensemble_own_noisy_rnd_count,Ensemble,1,0,99,100,140.33208502640522,141.09518260821105,126.6032462844523,147.30486959096024,3.320540310176431,137.01501973321393,143.14182506863082,79.7767903804779,31.35604259099273,79.74955072021484,65.63,0.0,0.0,0.0,38.87,3.41748046875,5e-05,1.0
test,ensemble_own_noisy_rnd_count,Ensemble,2,100,199,100,141.0243596070859,141.15408380601068,130.695127747704,145.3071496295619,3.033091546239724,139.01887297956335,143.19093629610563,78.95561122894287,32.064897029005806,78.92807861328124,65.96,0.0,0.0,0.0,38.74,3.41748046875,5e-05,1.0
test,ensemble_own_noisy_rnd_count,Ensemble,3,200,299,100,141.4096560596688,141.1336512776303,134.85194664224974,147.31204718555142,2.5725852170169996,139.0450847951851,143.21571900162033,78.08348345756531,30.94988561599712,78.05809515380861,66.15,0.0,0.0,0.0,39.68,3.41748046875,5e-05,1.0
