phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50,Median 50,24,640.1686719299194,651.9817372174638,474,10.281547546386719,6.952278529000068,10.2813740234375,3.74951171875,0.0,30.0,4437.0,49140.0,141.14,37.0,0.18423700132230414,474,0.02371271888765124,0.024684951476831,0.02371271888765124,7895,7832,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 369, 'median50_explore': 105}"
train,median_50,Median 50,25,862.834065991678,872.0048519016299,500,10.965928792953491,8.260619399999996,10.9656591796875,3.74951171875,0.0,44.0,4437.0,49140.0,149.65,39.0,0.18149276088178157,500,0.016786304235283753,0.01817370877755019,0.016786304235283753,8395,8332,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 402, 'median50_explore': 98}"
train,median_50,Median 50,26,771.1996341359924,782.6449305427041,500,11.560105800628662,7.722808305000399,11.5597646484375,3.74951171875,0.0,32.0,4437.0,49140.0,113.05,36.0,0.1945473208958283,500,0.019186202778251754,0.02269873078564178,0.019186202778251754,8895,8832,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 404, 'median50_explore': 96}"
train,median_50,Median 50,27,1044.6078615477181,1050.5147892364816,500,10.910398721694946,7.21089910200044,10.91020703125,3.74951171875,0.0,31.0,4437.0,49140.0,143.7,38.0,0.2192847063560039,500,0.015576300968539727,0.011658092367842269,0.015576300968539727,9395,9332,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 405, 'median50_explore': 95}"
train,median_50,Median 50,28,977.3359479990326,983.8822177301643,500,11.365816593170166,7.6100323680002475,11.365314453125,3.74951171875,0.0,38.0,4437.0,49140.0,119.74,37.0,0.20970213840808719,500,0.03027792396851146,0.012789760222579074,0.03027792396851146,9895,9832,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 403, 'median50_explore': 97}"
train,median_50,Median 50,29,124.39634404478254,124.54532217302814,58,1.3748095035552979,0.9452461259998017,1.374706298828125,3.74951171875,0.0,35.0,4437.0,49140.0,130.65,37.0,0.17184845310764324,58,0.019910576417118887,0.002369482653856282,0.019910576417118887,9953,9890,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 48, 'median50_explore': 10}"
train,median_50,Median 50,30,122.24887354551348,122.39154649674245,57,1.3483009338378906,0.9305664950006758,1.34796630859375,3.74951171875,0.0,35.0,4437.0,49140.0,117.68,36.0,0.1439267110177561,57,0.014329000020281231,0.0023597442318853416,0.014329000020281231,10010,9947,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 50, 'median50_explore': 7}"
train,median_50,Median 50,31,1056.1567027305027,1061.1858307183684,500,11.03744912147522,7.725609108999379,11.0372197265625,3.74951171875,0.0,37.0,4437.0,49140.0,134.88,37.0,0.22803817715123295,500,0.005252469629158441,0.010005731279439708,0.005252469629158441,10510,10447,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 414, 'median50_explore': 86}"
train,median_50,Median 50,32,124.37095190679251,124.51250708437118,58,1.2481722831726074,0.9006084900001952,1.2478468017578126,3.74951171875,0.0,37.0,4437.0,49140.0,132.85,37.0,0.2732618119535518,58,0.013233624308637006,0.0023082702668903747,0.013233624308637006,10568,10505,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 46, 'median50_explore': 12}"
train,median_50,Median 50,33,877.1917709323641,884.2675900345085,500,10.606586933135986,8.309606617999634,10.6062919921875,3.74951171875,0.0,36.0,4437.0,49140.0,146.03,38.0,0.21856549775321035,500,0.017645686738613223,0.01397518133690509,0.017645686738613223,11068,11005,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 117, 'greedy': 383}"
train,median_50,Median 50,34,122.1899788140258,122.32789688115268,57,1.2431190013885498,0.944339945000138,1.2427515869140624,3.74951171875,0.0,37.0,4437.0,49140.0,147.25,38.0,0.36817231673028383,57,0.019332699411806015,0.0022262882186346073,0.019332699411806015,11125,11062,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 9, 'greedy': 48}"
train,median_50,Median 50,35,1028.1352065154572,1033.621029286494,500,11.041162490844727,8.032034804000432,11.0407451171875,3.74951171875,0.0,37.0,4437.0,49140.0,135.07,37.0,0.21631867149099707,500,0.01233536944555999,0.010848291847616612,0.01233536944555999,11625,11562,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 405, 'median50_explore': 95}"
train,median_50,Median 50,36,782.5938295473253,793.8846524811793,500,10.97774600982666,7.541354371000125,10.9773515625,3.74951171875,0.0,31.0,4437.0,49140.0,139.71,38.0,0.24792302745301276,500,0.013039472216143622,0.022451251145547062,0.013039472216143622,12125,12062,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 114, 'greedy': 386}"
train,median_50,Median 50,37,635.0187125708915,641.9402254996678,401,8.734979629516602,5.703814860999955,8.7345869140625,3.74951171875,0.0,42.0,4437.0,49140.0,152.32,39.0,0.24063787257247732,401,0.05837131175196232,0.016676917627560222,0.05837131175196232,12526,12463,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 306, 'median50_explore': 95}"
train,median_50,Median 50,38,927.3861997337858,934.0662484534397,500,10.862778186798096,8.275029657000232,10.86240234375,3.74951171875,0.0,36.0,4437.0,49140.0,148.67,39.0,0.24823461135011166,500,0.03418508727360313,0.013018246566568954,0.03418508727360313,13026,12963,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 397, 'median50_explore': 103}"
train,median_50,Median 50,39,126.46118206914018,126.60137574340746,59,1.1948375701904297,0.7592463809996843,1.1945574951171876,3.74951171875,0.0,36.0,4437.0,49140.0,148.02,39.0,0.4418488147873747,59,0.014022441967627254,0.002235939550955988,0.014022441967627254,13085,13022,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 50, 'median50_explore': 9}"
train,median_50,Median 50,40,126.42354038941522,126.56158116019546,59,1.2698163986206055,0.9162659190005797,1.269453369140625,3.74951171875,0.0,39.0,4437.0,49140.0,147.16,39.0,0.2381758059738046,59,0.014918414447446732,0.002190489936546066,0.014918414447446732,13144,13081,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 12, 'greedy': 47}"
train,median_50,Median 50,41,126.42995055862076,126.56208297665675,59,1.2689878940582275,0.8660800799998469,1.2686717529296876,3.74951171875,0.0,36.0,4437.0,49140.0,148.82,39.0,0.31229961035236464,59,0.015028665102209297,0.0020892458580626626,0.015028665102209297,13203,13140,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 18, 'greedy': 41}"
train,median_50,Median 50,42,628.6396484361667,641.3318440425943,500,10.94206690788269,7.507633333999365,10.9416240234375,3.74951171875,0.0,35.0,4437.0,49140.0,112.48,37.0,0.24619816195592284,500,0.07885722395329503,0.02459581897332328,0.07885722395329503,13703,13640,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 403, 'median50_explore': 97}"
train,median_50,Median 50,43,122.30172383968508,122.4524801654711,57,1.3267040252685547,0.8590473960002782,1.3263507080078125,3.74951171875,0.0,34.0,4437.0,49140.0,134.07,38.0,0.2294952433817742,57,0.06710079545461524,0.001973839866261641,0.06710079545461524,13760,13697,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 6, 'greedy': 51}"
train,median_50,Median 50,44,621.9674648871844,629.706292342853,409,8.657891035079956,6.199657346999629,8.6575224609375,3.74951171875,0.0,43.0,4437.0,49140.0,150.16,39.0,0.3066555929112915,409,0.045621237328456354,0.01846512614913418,0.045621237328456354,14169,14106,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'greedy': 325, 'median50_explore': 84}"
train,median_50,Median 50,45,124.30580062024733,124.43374964895578,58,1.1659460067749023,0.7845617330003734,1.1654266357421874,3.74951171875,0.0,40.0,4437.0,49140.0,148.78,39.0,0.2671135724361601,58,0.019898096623615733,0.002007036770116332,0.019898096623615733,14227,14164,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'median50_explore': 13, 'greedy': 45}"
