phase,experiment,method,block_index,start_episode,end_episode,episodes_in_block,average_env_reward,median_env_reward,min_env_reward,max_env_reward,std_env_reward,q1_env_reward,q3_env_reward,total_wall_time_seconds,total_cpu_time_seconds,total_gpu_time_seconds,average_steps,average_loss,average_rnd_intrinsic,average_count_intrinsic,average_gpu_util_percent,max_gpu_memory_mb,learning_rate,lr_multiplier
test,standard_epsilon,Epsilon,3,200,299,100,134.40356284372044,134.7855738428489,128.59390648008485,141.1010126841538,2.861701738401446,132.7795270231211,136.94499817040872,90.74715375900269,29.10371501499867,90.71365710449214,62.77,0.0,0.0,0.0,35.06,4.48779296875,0.0001,1.0
test,median_50_first,Median First,1,0,99,100,133.67616628950134,134.81638449399662,115.77158412101909,141.14759959934477,3.656950398471306,132.68663313940112,135.45158620335576,91.92525339126587,28.345183782993445,91.89151068115235,62.42,0.0,0.0,0.0,35.0,4.48779296875,0.0001,1.0
test,median_50_first,Median First,2,100,199,100,131.8781955050513,132.7793519457642,124.20974107695984,139.107698513588,3.510557598114579,128.65108432665323,134.86661089660788,96.08079648017883,27.3889860329964,96.04974786376957,61.56,0.0,0.0,0.0,33.29,4.48779296875,0.0001,1.0
test,median_50_first,Median First,3,200,299,100,133.29339520887544,132.853728945568,122.06366388264391,139.0900063931228,3.5770671880461435,130.76288700768907,134.9827344582752,93.3393919467926,26.921166686990546,93.30739471435548,62.24,0.0,0.0,0.0,34.58,4.48779296875,0.0001,1.0
test,median_50,Median 50,1,0,99,100,133.73371368362405,132.85171706190408,126.41838921719295,141.16716276610097,2.765984850232381,132.73080582064006,134.90646824487402,92.09194707870483,27.824847396986115,92.06133911132812,62.45,0.0,0.0,0.0,34.01,4.48779296875,0.0001,1.0
test,median_50,Median 50,2,100,199,100,135.1312400114074,134.91462108500858,128.4244796325546,143.15789575856468,2.731462823931928,132.8234714464544,136.98289402209954,88.68482232093811,27.00729071400565,88.65241418457032,63.12,0.0,0.0,0.0,35.32,4.48779296875,0.0001,1.0
test,median_50,Median 50,3,200,299,100,135.8564198134031,134.9349912295674,130.6786959579916,143.14943348887238,2.558190055740967,134.8048045988704,137.03483887531127,87.84428119659424,26.421080997994068,87.81522082519534,63.47,0.0,0.0,0.0,35.82,4.48779296875,0.0001,1.0
test,ensemble_epsilon_medianfirst_median50,Ensemble,1,0,99,100,184.69968446685493,136.95602380452863,120.1064191102256,1195.9795010495188,181.39307053588854,134.8939773398827,141.12649629711913,114.20305180549622,54.169976412989854,114.17074383544922,84.51,0.0,0.0,0.0,37.69,4.48779296875,0.0001,1.0
test,ensemble_epsilon_medianfirst_median50,Ensemble,2,100,199,100,221.34617055571226,136.97734684411174,128.6671998147675,1201.8710685193214,269.6047684061768,134.874674639744,141.125481839217,137.91117763519287,65.50801897499878,137.88210382080075,99.21,0.0,0.0,0.0,36.62,4.48779296875,0.0001,1.0
test,ensemble_epsilon_medianfirst_median50,Ensemble,3,200,299,100,237.1749106391834,134.96418859197394,130.68415157105167,1204.626430939772,283.88336201999545,134.863021175092,160.16364443849315,148.54177165031433,73.82915033400968,148.51194812011724,106.23,0.0,0.0,0.0,36.56,4.48779296875,0.0001,1.0
