phase,experiment,method,episode,env_reward,training_reward,steps,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,ensemble_epsilon_medianfirst_median50,Ensemble,21,1266.3925973458906,1268.8377048690131,500,12.604435443878174,9.00373725099962,12.60418359375,4.62109375,0.0,39.0,4439.0,49140.0,133.56,38.0,0.07713796509068925,500,0.007816430746894667,0.004812050738776882,0.007816430746894667,11000,10937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 478, 'ensemble_median_50_first': 21, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,22,1241.8765203473818,1243.6903552257372,500,11.057040691375732,7.359154168000714,11.05684765625,4.62109375,0.0,38.0,4439.0,49140.0,146.62,38.0,0.09275571022229269,500,0.0072171533198809356,0.0035554982235122936,0.0072171533198809356,11500,11437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 459, 'ensemble_median_50_first': 41}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,23,1253.6829110200779,1255.5891255091558,500,11.955358028411865,8.48482760600018,11.9550341796875,4.62109375,0.0,38.0,4439.0,49140.0,134.21,38.0,0.08645283195120282,500,0.008605097363348819,0.0037263780045232535,0.008605097363348819,12000,11937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 471, 'ensemble_median_50_first': 28, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,24,1238.102368858846,1239.9053242488028,500,12.303559064865112,8.70571151599961,12.3031826171875,4.62109375,0.0,35.0,4439.0,49140.0,146.34,38.0,0.0949174687708728,500,0.006518622701632126,0.0035407245528924587,0.006518622701632126,12500,12437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 36}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,25,1249.882944934633,1251.6439291544605,500,11.963318824768066,8.575261234999743,11.9632021484375,4.62109375,0.0,39.0,4439.0,49140.0,149.49,38.0,0.07841213674400933,500,0.004284924162156188,0.0034791191980347714,0.004284924162156188,13000,12937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 488, 'ensemble_median_50_first': 11, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,26,1164.4998169055398,1166.963230182657,500,11.87477970123291,8.791033082000467,11.8743642578125,4.62109375,0.0,41.0,4439.0,49140.0,150.15,39.0,0.11469294359488413,500,0.005123498933971746,0.0048755915648918385,0.005123498933971746,13500,13437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 463, 'ensemble_median_50_first': 37}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,27,1252.5251719260702,1254.2145552664529,500,11.05895709991455,7.965491578999718,11.05851953125,4.62109375,0.0,38.0,4439.0,49140.0,153.01,39.0,0.08726922984106932,500,0.00586469881324706,0.0033201196926314737,0.00586469881324706,14000,13937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 464, 'ensemble_median_50_first': 36}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,28,1262.669466203224,1264.4806837302058,500,12.546588659286499,9.197090505999768,12.5462421875,4.62109375,0.0,35.0,4439.0,49140.0,137.33,38.0,0.13310598968272097,500,0.00469027491962288,0.0035755323047647917,0.00469027491962288,14500,14437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 477, 'ensemble_median_50_first': 22, 'ensemble_median_50': 1}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,29,1236.1277567093562,1237.720872836426,500,12.345268964767456,9.194190750000416,12.3448447265625,4.62109375,0.0,39.0,4439.0,49140.0,145.57,38.0,0.08722718070237898,500,0.0054024852140684065,0.0031322074019990865,0.0054024852140684065,15000,14937,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 455, 'ensemble_median_50_first': 45}"
train,ensemble_epsilon_medianfirst_median50,Ensemble,30,1241.0906264725645,1242.7408509104137,500,11.193040370941162,8.002891219000048,11.1925693359375,4.62109375,0.0,34.0,4439.0,49140.0,134.81,37.0,0.10952216783072799,500,0.005239606207749375,0.003248052813619699,0.005239606207749375,15500,15437,0.2,0.99,0.0001,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,"{'ensemble_own': 477, 'ensemble_median_50_first': 23}"
