phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,37,113,fcefa413d9a8100862fb37f66d11480251004df9847f9ad052582bd98e68fd34,-49.95,-49.95,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.3228395530022681,0.3228398110000015,9.403895378112793,0.0,0.0,208,145,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,38,114,128f32260a97239a1d7e1f96a82705b26a731db27bf9d127bdea87287318ea5c,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16648005100432783,0.16649440700000184,7.802711486816406,0.0,0.0,209,146,0.0,0.0,0.0,False,,"{""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,39,115,f9706ecf42b5b5d7fd1316c2194a26c034f1f857e77e94657c16b262447eac20,-50.0,-50.0,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16367885200452292,0.16360694400000142,12.560028076171875,0.0,0.0,210,147,0.0,0.0,0.0,False,,"{""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,40,116,b48168c084ed53c3011374d1999b0fff6963223204e2ab3d3f6225c39fbb9019,-49.9,-49.9,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.32001540799683426,0.3199454250000002,9.415974140167236,0.0,0.0,212,149,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 1, ""permanent_pool_best_available__active_initial_pass_last_action_pending_unknown_pass"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,41,117,205f65a8b571d206eef7497b26010f94148e60be11af96f3dcbb9451c93d1126,-45.99355269897594,-45.99355269897594,5,collision,True,True,False,False,False,False,collision,True,5,0.7693912480026484,0.7691711330000004,9.592658805847169,0.0,0.0,217,154,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 4, ""permanent_pool_best_available__active_pass_complete__greedy_confirmed_safe"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,42,118,4f3b32567c60aea3c2c1b8ec278b0455e04c5724cf00c9f3b8ef4a63aa174f37,-44.1,-44.1,8,collision,True,True,False,False,False,False,collision,True,8,1.2425598650006577,1.242273878000006,10.195217609405518,0.0,0.0,225,162,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 7, ""permanent_pool_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,43,119,6816111bacc7c0adc479e112bc34781eff725a32d8d62e15fce5dfc7f1d302cc,-40.45,-40.45,11,collision,True,True,False,False,False,False,collision,True,11,1.7047084559962968,1.7044728919999983,9.19703431562944,0.0,0.0,236,173,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 9, ""permanent_pool_best_available"": 1, ""promoted_pool_first_best_available"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,44,120,73a25dfb20ed3b786a89401cfb870041252396c105d26fcd646a60d3a94deb22,-39.0,-39.0,11,collision,True,True,False,False,False,False,collision,True,11,1.7220265740033938,1.7216756990000022,9.121085383675315,0.0,0.0,247,184,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 10, ""retired_pool_greedy_confirmed_safe"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,45,121,60385f205b54ed466a92d9a4d9101be0913c647906e3c5dd313ae8e4791268c4,-44.0,-44.0,7,collision,True,True,False,False,False,False,collision,True,7,1.0831490850032424,1.0828517019999992,8.963920525142125,0.0,0.0,254,191,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 6, ""retired_pool_greedy_confirmed_safe"": 1}"
train,Karthikeya27adv8highwayV4,Karthikeya27adv8highwayV4,76,46,122,44655c752eac00755adb3f332c528aa5fa4607cb291c14618b5beb6e053b430c,-47.7,-47.7,3,collision,True,True,False,False,False,False,collision,True,3,0.4772665220007184,0.47721876699999655,8.060807545979818,0.0,0.0,257,194,0.0,0.0,0.0,False,,"{""candidate_created_argmax__candidate_unknown"": 2, ""retired_pool_greedy_confirmed_safe"": 1}"
