phase,experiment,method,episode,env_reward,training_reward,steps,termination_reason,ended_before_max_steps,collision,collision_actor_type,collision_actor_id,collision_actor_role_name,collision_intensity,stuck,stuck_step_count,wall_time_seconds,cpu_time_seconds,gpu_time_seconds,gpu_memory_mb,process_memory_mb,ram_used_mb,ram_total_mb,ram_percent,gpu_util_percent,gpu_memory_used_mb_smi,gpu_memory_total_mb_smi,gpu_power_watts,gpu_temperature_c,average_loss,loss_updates,average_rnd_intrinsic,average_count_intrinsic,average_rnd_loss,replay_buffer_size,learn_steps,epsilon,gamma,learning_rate,lr_multiplier,dqn_technology,rnd_beta,count_beta,count_state_bin_size,action_source_counts
train,median_50_first,Median First,23,398.71774935689115,410.1934290419254,307,collision,True,True,static.static,0,,358.1107432650298,False,0,11.271896600723267,5.876819715000238,11.2692734375,2.8779296875,0.0,0.0,0.0,0.0,27.0,5835.0,49140.0,106.58,34.0,0.6305045476668675,307,0.09347129404333994,0.03644535118019879,0.09347129404333994,4678,4615,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 307}
train,median_50_first,Median First,24,303.2357274998386,315.07967794056594,299,collision,True,True,static.pole,0,,293.094726203438,False,0,10.658092260360718,5.405839682999613,10.6534248046875,2.8779296875,0.0,0.0,0.0,0.0,29.0,5835.0,49140.0,108.88,34.0,0.6126326464091655,299,0.1655514405638892,0.037956359978064784,0.1655514405638892,4977,4914,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 299}
train,median_50_first,Median First,25,276.39495589913656,286.7428373499424,263,collision,True,True,static.vegetation,0,,8984.260406531926,False,0,9.794422149658203,5.260323718000109,9.7916220703125,2.8779296875,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,119.71,35.0,0.9249977302372796,263,0.11863076867834052,0.038159249160385704,0.11863076867834052,5240,5177,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 263}
train,median_50_first,Median First,26,183.88355578194137,192.1007084976372,203,collision,True,True,traffic.traffic_light,15,,12334.782624100913,False,0,7.817815065383911,4.082798038999499,7.8100966796875,2.8779296875,0.0,0.0,0.0,0.0,29.0,5835.0,49140.0,116.85,35.0,0.6833884258905949,203,0.27924149654395053,0.037686169840944736,0.27924149654395053,5443,5380,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 203}
train,median_50_first,Median First,27,341.9077878416357,355.19607772712186,337,collision,True,True,static.building,0,,7724.33349609375,False,0,12.075090169906616,6.408344092000334,12.0725869140625,2.8779296875,0.0,0.0,0.0,0.0,26.0,5835.0,49140.0,108.85,34.0,0.6256131292583327,337,0.06489067380102378,0.03878222051862483,0.06489067380102378,5780,5717,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 337}
train,median_50_first,Median First,28,307.6197200352954,320.0847363002649,324,collision,True,True,static.static,0,,228.40702547848232,False,0,11.530648708343506,6.032743646000199,11.52717578125,2.8779296875,0.0,0.0,0.0,0.0,27.0,5835.0,49140.0,105.2,34.0,0.9498514645089062,324,0.07189824968363721,0.037753289925907034,0.07189824968363721,6104,6041,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 324}
train,median_50_first,Median First,29,113.91935968188827,122.52372150864846,205,collision,True,True,traffic.traffic_light,15,,10449.397460938982,False,0,7.901303768157959,3.858809186000144,7.89352978515625,2.8779296875,0.0,0.0,0.0,0.0,28.0,5835.0,49140.0,106.83,34.0,0.8062442546937524,205,0.10602627690518047,0.04091223394685201,0.10602627690518047,6309,6246,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 205}
train,median_50_first,Median First,30,176.42075099510964,185.36528033688583,230,collision,True,True,traffic.traffic_light,15,,12396.661348954432,False,0,7.956123352050781,4.2999717630000305,7.95297314453125,2.8779296875,0.0,0.0,0.0,0.0,32.0,5835.0,49140.0,111.17,35.0,0.907388765162424,230,0.16895399679045153,0.037199718039817475,0.16895399679045153,6539,6476,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 230}
train,median_50_first,Median First,31,398.4297863378139,412.46897351308064,367,collision,True,True,static.building,0,,0.0012499997392337848,False,0,13.365040302276611,6.825038867999865,13.360234375,2.8779296875,0.0,0.0,0.0,0.0,25.0,5835.0,49140.0,106.15,34.0,0.7099024751591585,367,0.03581527758317388,0.03789576323306936,0.03581527758317388,6906,6843,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 367}
train,median_50_first,Median First,32,526.6830803421249,540.6227883772134,418,collision,True,True,static.building,0,,10602.2421875,False,0,14.1650869846344,7.7406720280005175,14.1623408203125,2.8779296875,0.0,0.0,0.0,0.0,34.0,5835.0,49140.0,109.29,35.0,0.9451279732082306,418,0.03004953129575326,0.033048088503043055,0.03004953129575326,7324,7261,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 418}
train,median_50_first,Median First,33,107.57953558785931,108.31957887202506,50,stuck,True,False,none,-1,,0.0,True,50,1.9671711921691895,0.9844830760002878,1.9622257080078125,2.8779296875,0.0,0.0,0.0,0.0,28.0,5835.0,49140.0,107.25,35.0,0.7118548564240337,50,0.06256634563673287,0.014175202226947752,0.06256634563673287,7374,7311,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,34,107.55346206809831,107.76856704787211,50,stuck,True,False,none,-1,,0.0,True,50,1.961092472076416,0.9619843669997863,1.958443603515625,2.8779296875,0.0,0.0,0.0,0.0,27.0,5835.0,49140.0,106.78,35.0,0.8497554517537356,50,0.07001216433010995,0.003601977952174929,0.07001216433010995,7424,7361,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,35,107.55443374213341,108.22937648261262,50,stuck,True,False,none,-1,,0.0,True,50,1.719604730606079,0.9176917220001997,1.7163486328125,2.8779296875,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,109.51,35.0,0.6840084898099303,50,0.0746480864728801,0.012752373944855655,0.0746480864728801,7474,7411,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,36,849.1815083156841,868.86617450692,500,max_steps,False,False,none,-1,,0.0,False,0,18.880253076553345,9.86626378300025,18.87259765625,2.8779296875,0.0,0.0,0.0,0.0,31.0,5835.0,49140.0,110.24,35.0,0.771372146397829,500,0.04720374325674493,0.038897294949902794,0.04720374325674493,7974,7911,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 500}
train,median_50_first,Median First,37,107.55383439597759,108.3217907675867,50,stuck,True,False,none,-1,,0.0,True,50,1.714271068572998,0.9462450869996246,1.7102713623046875,2.8779296875,0.0,0.0,0.0,0.0,27.0,5835.0,49140.0,108.33,35.0,0.7743669299036264,50,0.2606753487326205,0.012752373944855655,0.2606753487326205,8024,7961,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 50}
train,median_50_first,Median First,38,321.5584921828436,331.9822586534897,285,collision,True,True,traffic.traffic_light,15,,1082.1590253326972,False,0,9.3416428565979,5.144688488000611,9.3390244140625,2.8779296875,0.0,0.0,0.0,0.0,30.0,5835.0,49140.0,133.64,36.0,0.8801266264693256,285,0.035003964728859596,0.036224579547961815,0.035003964728859596,8309,8246,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 285}
train,median_50_first,Median First,39,-214.53700762152576,-204.51343108849937,240,collision,True,True,static.vegetation,0,,8718.591962312934,False,0,7.788053750991821,4.489349988999493,7.785189453125,2.8779296875,0.0,0.0,0.0,0.0,26.0,5835.0,49140.0,107.24,34.0,0.755218771530781,240,0.1048225170923009,0.040716677050018926,0.1048225170923009,8549,8486,0.2,0.99,5e-05,1.0,DQN + RND + CountBased + TargetNetwork + ReplayBuffer + Adam,0.01,0.05,1.0,{'median_first_phase': 240}
